"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 07 02:14:55 IDT 2021","Wed Jul 07 02:15:03 IDT 2021","8015","tests.ui","test_new_project","","","","Test creating a new project",""
"passed","Wed Jul 07 02:14:05 IDT 2021","Wed Jul 07 02:14:18 IDT 2021","13215","tests.ui","test_010_create_task","","","","Test 010 - UI - Create Task",""
"passed","Wed Jul 07 02:13:46 IDT 2021","Wed Jul 07 02:13:46 IDT 2021","147","tests.api","test_005_get_work_package","","","","Test 005 - API - Get Work Package by ID","
    This test function sends an http 'GET' request to the server
    and checks if response code is correct, work package type & subject match expected values
    "
"passed","Wed Jul 07 02:13:41 IDT 2021","Wed Jul 07 02:13:41 IDT 2021","34","tests.api","test_001_get_project","","","","Test 001 - API - Get Project by ID",""
"passed","Wed Jul 07 02:14:48 IDT 2021","Wed Jul 07 02:14:51 IDT 2021","3331","tests.ui","test_new_project","","","","Test navigation into ""New Project"" page",""
"passed","Wed Jul 07 02:14:28 IDT 2021","Wed Jul 07 02:14:32 IDT 2021","3813","tests.ui","test_home","","","","Test navigation into a selected project page",""
"passed","Wed Jul 07 02:14:36 IDT 2021","Wed Jul 07 02:14:37 IDT 2021","1578","tests.ui","test_login","","","","Test OpenProject sign in page title",""
"passed","Wed Jul 07 02:13:41 IDT 2021","Wed Jul 07 02:13:41 IDT 2021","87","tests.api","test_003_create_project","","","","Test 003 - API - Create Project",""
"passed","Wed Jul 07 02:13:41 IDT 2021","Wed Jul 07 02:13:46 IDT 2021","5138","tests.api","test_004_delete_project","","","","Test 004 - API - Delete Project",""
"passed","Wed Jul 07 02:15:06 IDT 2021","Wed Jul 07 02:15:10 IDT 2021","3810","tests.ui","test_project_overview","","","","Test navigation into ""Project Overview"" page",""
"passed","Wed Jul 07 02:15:22 IDT 2021","Wed Jul 07 02:15:27 IDT 2021","4725","tests.ui","test_work_packages","","","","Test navigation into ""Work Packages"" page",""
"passed","Wed Jul 07 02:13:53 IDT 2021","Wed Jul 07 02:14:01 IDT 2021","7955","tests.ui","test_009_create_project","","","","Test 009 - UI - Create Project",""
"passed","Wed Jul 07 02:13:46 IDT 2021","Wed Jul 07 02:13:47 IDT 2021","215","tests.api","test_007_create_work_package","","","","Test 007 - API - Create Work Package",""
"passed","Wed Jul 07 02:13:41 IDT 2021","Wed Jul 07 02:13:41 IDT 2021","44","tests.api","test_002_update_project","","","","Test 002 - API - Update Project",""
"passed","Wed Jul 07 02:14:21 IDT 2021","Wed Jul 07 02:14:24 IDT 2021","3118","tests.ui","test_home","","","","Test navigation into ""New Project"" page",""
"passed","Wed Jul 07 02:14:41 IDT 2021","Wed Jul 07 02:14:44 IDT 2021","3912","tests.ui","test_login","","","","Test logging into OpenProject app",""
"passed","Wed Jul 07 02:15:14 IDT 2021","Wed Jul 07 02:15:19 IDT 2021","4936","tests.ui","test_project_overview","","","","Test for matching project name",""
"passed","Wed Jul 07 02:13:46 IDT 2021","Wed Jul 07 02:13:46 IDT 2021","321","tests.api","test_006_update_work_package","","","","Test 006 - API - Update Work Package",""
"passed","Wed Jul 07 02:15:30 IDT 2021","Wed Jul 07 02:15:43 IDT 2021","13049","tests.ui","test_work_packages","","","","Test creating a new task",""
"passed","Wed Jul 07 02:13:47 IDT 2021","Wed Jul 07 02:13:52 IDT 2021","5317","tests.api","test_008_delete_work_package","","","","Test 008 - API - Delete Work Package",""
